,Vdc,Idc,Pac
2019-08-02 11:00:00+00:00,518.0,91.2900009155,46428.0
2019-08-02 11:15:00+00:00,514.0,94.0500030518,47390.0
2019-08-02 11:30:00+00:00,521.0,83.6699981689,42711.0
2019-08-02 11:45:00+00:00,512.0,98.9800033569,49706.0
2019-08-02 12:00:00+00:00,507.0,101.3499984741,50387.0
2019-08-02 12:15:00+00:00,502.0,105.0,51710.0
2019-08-02 12:30:00+00:00,497.0,108.4800033569,52979.0
2019-08-02 12:45:00+00:00,494.0,110.5500030518,53656.0
2019-08-02 13:00:00+00:00,494.0,108.6800003052,52661.0
2019-08-02 13:15:00+00:00,491.0,113.4000015259,54670.0
2019-08-02 13:30:00+00:00,495.0,94.0199966431,45620.0
2019-08-02 13:45:00+00:00,521.0,69.4000015259,35506.0
2019-08-02 14:00:00+00:00,506.0,105.9000015259,52540.0
2019-08-02 14:15:00+00:00,512.0,64.5100021362,32278.0
2019-08-02 14:30:00+00:00,520.0,92.9000015259,47278.0
2019-08-02 14:45:00+00:00,514.0,53.9399986267,27179.0
2019-08-02 15:00:00+00:00,549.0,31.0200004578,16627.0
2019-08-02 15:15:00+00:00,546.0,70.25,37479.0
2019-08-02 15:30:00+00:00,540.0,33.0400009155,17439.0
2019-08-02 15:45:00+00:00,542.0,70.5,37550.0
2019-08-02 16:00:00+00:00,542.0,59.0200004578,31456.0
2019-08-02 16:15:00+00:00,547.0,50.9799995422,27362.0
2019-08-02 16:30:00+00:00,547.0,52.75,28295.0
2019-08-02 16:45:00+00:00,555.0,55.3199996948,30047.0
2019-08-02 17:00:00+00:00,557.0,51.0200004578,27780.0
2019-08-02 17:15:00+00:00,560.0,39.8100013733,21745.0
2019-08-02 17:30:00+00:00,567.0,36.2900009155,20054.0
2019-08-02 17:45:00+00:00,568.0,27.5,15171.0
2019-08-02 18:00:00+00:00,575.0,26.9400005341,14972.0
2019-08-02 18:15:00+00:00,577.0,20.9799995422,11591.0
2019-08-02 18:30:00+00:00,573.0,15.3299999237,8319.0
2019-08-02 18:45:00+00:00,569.0,9.4799995422,4959.0
2019-08-02 19:00:00+00:00,520.0,4.3200001717,1847.0
2019-08-02 19:15:00+00:00,515.0,1.9299999475,578.0
2019-08-02 19:30:00+00:00,512.0,0.7200000286,24.0
2019-08-02 19:45:00+00:00,529.0,-0.050000000700000005,1.0
2019-08-03 04:45:00+00:00,463.0,0.0,2.0
2019-08-03 05:00:00+00:00,556.0,0.0399999991,2.0
2019-08-03 05:15:00+00:00,593.0,0.2599999905,-5.0
2019-08-03 05:30:00+00:00,494.0,1.6499999762000002,354.0
2019-08-03 05:45:00+00:00,560.0,2.4600000381,836.0
2019-08-03 06:00:00+00:00,576.0,3.2000000477,1299.0
2019-08-03 06:15:00+00:00,585.0,4.0599999428,1812.0
2019-08-03 06:30:00+00:00,620.0,5.3499999046,2723.0
2019-08-03 06:45:00+00:00,606.0,8.4399995804,4502.0
2019-08-03 07:00:00+00:00,618.0,12.6599998474,7143.0
2019-08-03 07:15:00+00:00,614.0,17.4699993134,10011.0
2019-08-03 07:30:00+00:00,608.0,23.5499992371,13595.0
2019-08-03 07:45:00+00:00,608.0,29.2600002289,16996.0
2019-08-03 08:00:00+00:00,603.0,35.0900001526,20352.0
2019-08-03 08:15:00+00:00,594.0,40.8899993896,23491.0
2019-08-03 08:30:00+00:00,581.0,46.7099990845,26321.0
2019-08-03 08:45:00+00:00,571.0,52.2999992371,29035.0
2019-08-03 09:00:00+00:00,561.0,57.6599998474,31550.0
2019-08-03 09:15:00+00:00,552.0,62.9700012207,33960.0
2019-08-03 09:30:00+00:00,545.0,67.7799987793,36139.0
2019-08-03 09:45:00+00:00,538.0,72.4000015259,38180.0
2019-08-03 10:00:00+00:00,530.0,77.0699996948,40013.0
2019-08-03 10:15:00+00:00,526.0,80.4199981689,41465.0
2019-08-03 10:30:00+00:00,522.0,84.25,43129.0
2019-08-03 10:45:00+00:00,518.0,88.5500030518,44999.0
2019-08-03 11:00:00+00:00,514.0,91.6699981689,46215.0
2019-08-03 11:15:00+00:00,509.0,94.1200027466,47073.0
2019-08-03 11:30:00+00:00,507.0,96.4499969482,48012.0
2019-08-03 11:45:00+00:00,504.0,98.75,48795.0
2019-08-03 12:00:00+00:00,502.0,100.4800033569,49481.0
2019-08-03 12:15:00+00:00,503.0,101.7099990845,50201.0
2019-08-03 12:30:00+00:00,499.0,102.5400009155,50237.0
2019-08-03 12:45:00+00:00,498.0,102.4300003052,50060.0
2019-08-03 13:00:00+00:00,495.0,102.9800033569,50071.0
2019-08-03 13:15:00+00:00,496.0,102.0599975586,49746.0
2019-08-03 13:30:00+00:00,495.0,101.4000015259,49289.0
2019-08-03 13:45:00+00:00,497.0,100.6399993896,49162.0
2019-08-03 14:00:00+00:00,499.0,98.9700012207,48549.0
2019-08-03 14:15:00+00:00,501.0,96.9800033569,47641.0
2019-08-03 14:30:00+00:00,504.0,94.9800033569,46960.0
2019-08-03 14:45:00+00:00,504.0,92.1500015259,45595.0
2019-08-03 15:00:00+00:00,505.0,88.8300018311,44063.0
2019-08-03 15:15:00+00:00,510.0,84.9300003052,42488.0
2019-08-03 15:30:00+00:00,533.0,70.1200027466,35296.0
2019-08-03 15:45:00+00:00,521.0,76.5199966431,39015.0
2019-08-03 16:00:00+00:00,525.0,71.9300003052,36938.0
2019-08-03 16:15:00+00:00,528.0,66.5500030518,34376.0
2019-08-03 16:30:00+00:00,534.0,61.1699981689,31880.0
2019-08-03 16:45:00+00:00,540.0,55.4900016785,29250.0
2019-08-03 17:00:00+00:00,545.0,50.0099983215,26527.0
2019-08-03 17:15:00+00:00,550.0,44.0499992371,23538.0
2019-08-03 17:30:00+00:00,556.0,38.1100006104,20530.0
2019-08-03 17:45:00+00:00,561.0,32.5699996948,17597.0
2019-08-03 18:00:00+00:00,563.0,25.4400005341,13696.0
2019-08-03 18:15:00+00:00,567.0,20.5499992371,11040.0
2019-08-03 18:30:00+00:00,565.0,14.6800003052,7696.0
2019-08-03 18:45:00+00:00,561.0,9.1899995804,4592.0
2019-08-03 19:00:00+00:00,551.0,5.5,2484.0
2019-08-03 19:15:00+00:00,543.0,3.1900000572,1168.0
2019-08-03 19:30:00+00:00,505.0,1.5700000525000002,301.0
2019-08-03 19:45:00+00:00,512.0,0.1000000015,-113.0
2019-08-04 04:45:00+00:00,437.0,0.0,3.0
2019-08-04 05:00:00+00:00,526.0,0.009999999800000001,2.0
2019-08-04 05:15:00+00:00,609.0,0.0299999993,2.0
2019-08-04 05:30:00+00:00,508.0,1.1699999571,142.0
2019-08-04 05:45:00+00:00,540.0,2.1099998951,618.0
2019-08-04 06:00:00+00:00,558.0,3.2200000286,1249.0
2019-08-04 06:15:00+00:00,563.0,4.6399998665,2057.0
2019-08-04 06:30:00+00:00,589.0,5.8499999046,2844.0
2019-08-04 06:45:00+00:00,607.0,6.4200000763,3257.0
2019-08-04 07:00:00+00:00,597.0,9.0900001526,4679.0
2019-08-04 07:15:00+00:00,595.0,10.470000267,5479.0
2019-08-04 07:30:00+00:00,599.0,13.8999996185,7539.0
2019-08-04 07:45:00+00:00,594.0,15.029999733,8115.0
2019-08-04 08:00:00+00:00,595.0,15.6300001144,8490.0
2019-08-04 08:15:00+00:00,599.0,24.7600002289,13952.0
2019-08-04 08:30:00+00:00,593.0,30.2000007629,17011.0
2019-08-04 08:45:00+00:00,589.0,35.2299995422,19874.0
2019-08-04 09:00:00+00:00,587.0,36.4799995422,20515.0
2019-08-04 09:15:00+00:00,575.0,64.9800033569,36296.0
2019-08-04 09:30:00+00:00,559.0,64.9199981689,35292.0
2019-08-04 09:45:00+00:00,550.0,69.6500015259,37340.0
2019-08-04 10:00:00+00:00,543.0,73.6100006104,39055.0
2019-08-04 10:15:00+00:00,537.0,77.6699981689,40788.0
2019-08-04 10:30:00+00:00,529.0,81.6900024414,42261.0
2019-08-04 10:45:00+00:00,525.0,85.1999969482,43757.0
2019-08-04 11:00:00+00:00,517.0,88.6200027466,44842.0
2019-08-04 11:15:00+00:00,515.0,91.2399978638,45988.0
2019-08-04 11:30:00+00:00,513.0,93.5100021362,46957.0
2019-08-04 11:45:00+00:00,507.0,95.5899963379,47398.0
2019-08-04 12:00:00+00:00,505.0,97.3899993896,48153.0
2019-08-04 12:15:00+00:00,502.0,98.3199996948,48294.0
2019-08-04 12:30:00+00:00,497.0,99.2300033569,48342.0
2019-08-04 12:45:00+00:00,496.0,99.9199981689,48538.0
2019-08-04 13:00:00+00:00,495.0,100.0899963379,48585.0
2019-08-04 13:15:00+00:00,495.0,98.5,47826.0
2019-08-04 13:30:00+00:00,499.0,96.3799972534,47153.0
2019-08-04 13:45:00+00:00,499.0,96.9300003052,47400.0
2019-08-04 14:00:00+00:00,499.0,95.2699966431,46586.0
2019-08-04 14:15:00+00:00,501.0,93.1699981689,45731.0
2019-08-04 14:30:00+00:00,500.0,90.8199996948,44570.0
2019-08-04 14:45:00+00:00,503.0,87.6900024414,43242.0
2019-08-04 15:00:00+00:00,508.0,83.9199981689,41723.0
2019-08-04 15:15:00+00:00,516.0,80.4800033569,40617.0
2019-08-04 15:30:00+00:00,521.0,76.8300018311,39179.0
2019-08-04 15:45:00+00:00,529.0,72.7200012207,37643.0
2019-08-04 16:00:00+00:00,535.0,64.6200027466,33740.0
2019-08-04 16:15:00+00:00,539.0,61.2299995422,32227.0
2019-08-04 16:30:00+00:00,541.0,61.7299995422,32627.0
2019-08-04 16:45:00+00:00,549.0,49.6800003052,26609.0
2019-08-04 17:00:00+00:00,546.0,48.4099998474,25742.0
2019-08-04 17:15:00+00:00,548.0,42.0400009155,22371.0
2019-08-04 17:30:00+00:00,552.0,36.7000007629,19594.0
2019-08-04 17:45:00+00:00,556.0,29.6299991608,15847.0
2019-08-04 18:00:00+00:00,558.0,24.0900001526,12839.0
2019-08-04 18:15:00+00:00,560.0,18.3700008392,9708.0
2019-08-04 18:30:00+00:00,560.0,12.3999996185,6361.0
2019-08-04 18:45:00+00:00,558.0,7.3800001144,3561.0
2019-08-04 19:00:00+00:00,535.0,3.6199998856,1415.0
2019-08-04 19:15:00+00:00,510.0,1.9299999475,484.0
2019-08-04 19:30:00+00:00,541.0,0.1700000018,-113.0
2019-08-04 19:45:00+00:00,473.0,-0.050000000700000005,2.0
2019-08-05 05:00:00+00:00,456.0,0.019999999600000002,2.0
2019-08-05 05:15:00+00:00,539.0,0.009999999800000001,3.0
2019-08-05 05:30:00+00:00,590.0,0.0,2.0
2019-08-05 05:45:00+00:00,501.0,0.9900000095,125.0
2019-08-05 06:00:00+00:00,522.0,2.1800000668,655.0
2019-08-05 06:15:00+00:00,547.0,3.2899999619,1309.0
2019-08-05 06:30:00+00:00,546.0,4.3299999237,1869.0
